list,order,item,condition,Amb,Vis,Half,image 1,image 2,sentence,Chinese,Italian
1,29,x14,,,,1,x1301.jpg,x1302.jpg,The seals became very hungry after the new zookeeper had gone home.,新来的动物管理员回家后，海豹们变得很饿。,Alle foche e' venuta tanta fame dopo che l'addetto allo zoo e' tornato a casa.
1,30,11,1,1,1,1,1111.jpg,1112.jpg,The mermaid left hospital with the policewoman.,美人鱼和女警察离开了医院。,La sirena e' uscita dall' ospedale con la poliziotta.
1,31,x15,,,,1,x1401.jpg,x1402.jpg,A bird had been sitting on the zookeeper's cage.,一只鸟蹲在动物管理员的笼子上。,Un uccello stava seduto sulla gabbia dell'addetto allo zoo.
1,32,12,2,1,2,1,1121.jpg,1122.jpg,The queen went for a walk with the princess.,王后和公主去散步。,La regina ha fatto una passeggiata con la principessa.
1,33,,,,,,,,PLEASE TAKE A BREAK NOW,现在请稍事休息。,ADESSO FA' UNA PAUSA
1,34,x16,,,,2,x0101.jpg,x0102.jpg,The skater thought she was going to hit the ball.,冰球运动员本以为自己能击中球。,La pattinatrice pensava di riuscire a toccare la palla.
1,35,x17,,,,2,x1601.jpg,x1602.jpg,The rescuer asked the patient to evacuate the building.,救援人员让病人撤离那栋建筑。,Il soccorritore ha chiesto al paziente di evacuare l'edificio.
1,36,13,1,1,1,2,1131.jpg,1132.jpg,The sheriff talked about politics with the groom.,警长和新郎谈了政治。,Lo sceriffo ha parlato di politica con lo sposo.
1,37,x18,,,,2,x1701.jpg,x1702.jpg,The ice cream man saw a soldier in the park.,卖冰淇淋的人看见公园里有名士兵。,Il venditore di gelato ha visto un soldato nel parco.
1,38,x19,,,,2,x3001.jpg,x3002.jpg,The golfer enjoyed bird-watching before the game.,高尔夫球运动员喜欢在比赛前观鸟。,Il giocatore di golf amava osservare gli uccelli prima di giocare a golf. 
1,39,14,4,2,2,2,3141.jpg,3142.jpg,The kitchenmaid had put out a fire with the king.,厨房女佣和国王一起解决了问题。,La cameriera aveva spento l'incendio con il re.
1,40,x19,,,,2,x1801.jpg,x1802.jpg,The Mexican was happy with the number of eggs  he counted.,墨西哥人对蛋的数量很满意。,Il messicano era contento del numero di uova che aveva contato.
1,41,15,2,1,2,2,1151.jpg,1152.jpg,The pirate escaped from jail with the gentleman.,海盗和绅士一起逃出了监狱。,Il pirata e' scappato da prigione con il signore.
1,42,x20,,,,2,x0901.jpg,x0902.jpg,Grandmother's cat was very hard to handle.,奶奶的猫非常难缠。,Il gatto della nonna e' molto difficile da trattare.
1,43,16,3,2,1,2,3161.jpg,3162.jpg,The gladiator went to the battleground with the countess.,角斗士和女爵士去了战场。,Il gladiatore e' andato al campo di battaglia con la contessa.
1,44,x21,,,,2,x2001.jpg,x2002.jpg,The Egyptian had handed a hose to the roadworker.,埃及人将水管递给了修路工人。,L'egiziano aveva dato un tubo all'operaio.
1,45,x22,,,,2,x1101.jpg,x1102.jpg,The diver had just came out of the water after a long dive.,潜水员在水里潜了很久，刚刚才浮出水面。,Il sommozzatore era appena uscito dall'acqua dopo una lunga immersione.
1,46,17,1,1,1,2,1171.jpg,1172.jpg,The lady discussed the weather with the mermaid.,女士和美人鱼聊了天气。,La signora ha discusso del tempo con la sirena.
1,47,x30,,,,2,x2801.jpg,x2802.jpg,The patient was recommended by the doctor to do some reading.,患者被医生推荐去读点东西。,Al paziente e' stato raccomandato dal dottore di leggere un po'.
1,48,18,2,1,2,2,1181.jpg,1182.jpg,The admiral was having a laugh with the prince.,将军和王子嬉闹了一会儿。,L'ammiraglio stava scherzando con il principe.
1,49,x24,,,,2,x2301.jpg,x2302.jpg,The baby had just been hit by his own pram.,婴儿刚刚被自己的婴儿车给撞到了。,Il bebe' era appena stato colpito dalla sua stessa carrozzina.
1,50,19,3,2,1,2,3191.jpg,3192.jpg,The Viking went to the lake with the nanny.,维京人和保姆去了湖边。,Il vichingo e' andato al lago con la bambinaia.
1,51,x25,,,,2,x2401.jpg,x2402.jpg,The plumber gave the flower to the female doctor.,水管工将鲜花送给了女医生。,L'idraulico ha dato il fiore alla dottoressa.
1,52,20,4,2,2,2,3201.jpg,3202.jpg,The girl was having fun with the wizard.,女孩和巫师玩得很开心。,La ragazza si stava divertendo con il mago.
1,53,x26,,,,2,x2501.jpg,x2502.jpg,The young man saw his neighbour's bin in the street.,年轻人在街上看见了领居家的垃圾桶。,Il giovanotto ha visto il bidone del suo vicino nella strada.
1,54,21,2,1,2,2,1211.jpg,1212.jpg,The prince went to the beach with the priest.,王子和牧师去了海边。,Il principe e' andato in spiaggia con il prete.
1,55,x27,,,,2,x2901.jpg,x2902.jpg,The man had stolen money from the bank robber.,男人从银行劫匪那里偷走了钱。,L'uomo aveva rubato dei soldi al rapinatore.
1,56,x28,,,,2,x1001.jpg,x1002.jpg,The paramedic was looking forward to meeting the magician.,医务人员很期待能见到魔术师。,Il paramedico non vedeva l'ora di incontrare il prestigiatore.
1,57,22,3,2,1,2,3221.jpg,3222.jpg,The woman was having a break with the pirate.,女人和海盗休息了一会儿。,La donna stava facendo una pausa con il pirata.
1,58,x29,,,,2,x2701.jpg,x2702.jpg,The nurse saw that her chair was occupied by  a colleague.,护士发现一名同事正坐在她的椅子上。,L'infermiera ha notato che la sua sedia era occupata da un collega.
1,59,23,1,1,1,2,1231.jpg,1232.jpg,The farmer went to the village with the pilot.,农民和飞行员去了村庄。,Il contadino e' andato in paese con il pilota.
1,60,x23,,,,2,x2201.jpg,x2202.jpg,The Roman soldier felt very tired after the battle.,罗马士兵结束了战斗，感到非常疲倦。,Il soldato romano era molto stanco dopo la battaglia.
1,61,24,4,2,2,2,3241.jpg,3242.jpg,The countess toured the country with the boy.,女爵士和男孩环游了全国。,La contessa ha fatto un viaggio con il ragazzo.
1,62,,,,,,,,END OF EXPERIMENT. THANK YOU VERY MUCH.,实验结束。非常感谢！,FINE DELL'ESPERIMENTO. MOLTE GRAZIE
2,1,p1,,,,,p0101.jpg,p0102.jpg,The actor's slippers had been washed. ,演员的拖鞋被洗干净了。,Le pantofole dell'attore sono state lavate.
2,2,p2,,,,,p0301.jpg,p0302.jpg,A young girl liked the teddy very much when she was  shopping with her mother.,小女孩和妈妈去买东西的时候，对这个泰迪熊爱不释手。,L'orsacchiotto e' piaciuto molto alla bambina quando faceva la spesa con la sua mamma.
2,3,p3,,,,,p0401.jpg,p0402.jpg,The knight saw a bale of straw and a chicken  on his way to work.,骑士在去工作的路上，看见了一垛干草和一只鸡。,Il cavaliere ha visto una balla di fieno e un pollo mentre andava al lavoro.
2,4,p4,,,,,p0201.jpg,p0202.jpg,The teenager found a radio on his way home. ,少年在回家的路上发现了一台收音机。,L'adolescente ha trovato una radio mentre tornava a casa.
2,5,p5,,,,,p0501.jpg,p0502.jpg,The cleaner was watering the flower when the man  brought her shocking news.,男人来给她传达新闻的时候，清洁工正在浇花。,L'addetta alle pulizie stava innaffiando il fiore quando l'uomo le ha svelato la scioccante notizia.
2,6,x01,,,,1,x0301.jpg,x0302.jpg,"When he was alone, the ghost felt lonely. ",鬼魂独自呆着的时候，会感到孤独。,"Quando era solo, il fantasma si sentiva solo."
2,7,x02,,,,1,x0201.jpg,x0202.jpg,The Egyptian had lost her way when she met  a man with a compass.,埃及人迷路的时候，遇到了一个带着指南针的男人。,L'egiziana aveva smarrito la strada quando ha incontrato un uomo con la bussola.
2,8,1,1,1,1,1,1011.jpg,1012.jpg,The witch visited the garden with the girl. ,女巫和女孩去参观了花园。,La strega ha visitato il giardino con la bambina.
2,9,x03,,,,1,x3101.jpg,x3102.jpg,The neighbour's cats were vegetarians.,领居家的猫是吃素的。,I gatti del vicino erano vegetariani.
2,10,2,2,1,2,1,1021.jpg,1022.jpg,The Indian went to the forest with the admiral.,印第安人和将军去了森林。,L'indiano e' andato nella foresta con l'ammiraglio.
2,11,x04,,,,1,x0701.jpg,x0702.jpg,Grandmother saw her rabbits were outside.,奶奶看见她的兔子正在外面。,La nonna ha notato che i suoi conigli erano fuori.
2,12,3,3,2,1,1,3031.jpg,3032.jpg,The countess came out of the house with the priest.,女爵士和牧师从房子里出来。,La contessa e' uscita da casa con il prete.
2,13,x05,,,,1,x0501.jpg,x0502.jpg,The knight asked the race car driver for his helmet.,骑士找赛车手要他的头盔。,Il cavaliere ha chiesto l'elmetto al pilota di auto da corsa. 
2,14,4,4,2,2,1,3041.jpg,3042.jpg,The king visited the castle with the stewardess.,国王和乘务员去参观了城堡。,Il re ha visitato il castello con la hostess.
2,15,x06,,,,1,x2101.jpg,x2102.jpg,The fire-fighter was in a hurry when he saw the  red traffic light.,消防员正在赶时间，却撞上了红灯。,Il pompiere aveva fretta quando ha visto il semaforo rosso.
2,16,5,2,1,2,1,1051.jpg,1052.jpg,The captain was invited to the palace with  the policeman.,队长和男警察被邀请去宫殿。,Il capitano e' stato invitato a palazzo con il poliziotto.
2,17,x07,,,,1,x0601.jpg,x0602.jpg,The waitress heard someone behind her.,服务员听见背后有人。,La cameriera ha sentito che c'era qualcuno dietro di lei.
2,18,6,4,2,2,1,3061.jpg,3062.jpg,The gardener went to the river with the bride.,园丁和新娘去了河边。,Il giardiniere e' andato al fiume con la sposa.
2,19,x08,,,,1,x0801.jpg,x0802.jpg,The cleaner saw the carpet was relatively clean.,清洁工发现地毯还算干净。,L'addetto alle pulizie ha notato che il tappeto era relativamente pulito.
2,20,x09,,,,1,x1501.jpg,x1502.jpg,The new zookeeper was introduced to the seals. ,新来的动物管理员被介绍给了海豹们。,Il nuovo lavoratore dello zoo e' stato presentato alle foche.
2,21,7,3,2,1,1,3071.jpg,3072.jpg,The woman explored the cave with the king.,女人和国王去探索了洞穴。,La donna ha esplorato la caverna con il re.
2,22,x10,,,,1,x1901.jpg,x1902.jpg,The astronaut was visiting his colleague's home.,宇航员去拜访了同事家。,L'astronauta stava visitando il suo collega a casa sua.
2,23,8,1,1,1,1,1081.jpg,1082.jpg,The gladiator had a chat with the gentleman.,角斗士和绅士聊了会天。,Il gladiatore ha chiaccherato con il signore.
2,24,x11,,,,1,x2601.jpg,x2602.jpg,The footballer found the ball on his way home.,足球运动员在回家的路上发现了自己的球。,Il calciatore ha trovato la palla mentre tornava a casa sua. 
2,25,9,4,2,2,1,3091.jpg,3092.jpg,The queen enjoyed a discussion with the cowboy.,王后和牛仔进行了愉快的讨论。,La regina ha conversato con il cowboy.
2,26,x12,,,,1,x0401.jpg,x0402.jpg,The thief had been trying to open the safe for hours.,小偷这几个小时一直在试图打开保险箱。,Il ladro aveva tentato per ore di aprire la cassaforte.
2,27,10,1,1,1,1,1101.jpg,1102.jpg,The boy went to the race track with the wizard.,男孩和巫师去了赛道。,Il bambino e' andato all'ippodromo (horse track) con il mago.
2,28,x13,,,,1,x1201.jpg,x1202.jpg,The plumber held a hula hoop in front of his daughter.,水管工在他女儿面前拿着个呼拉圈。,L'idraulico ha tenuto alzato l'hula hoop  davanti a sua figlia.
2,29,x14,,,,1,x1301.jpg,x1302.jpg,The seals became very hungry after the new zookeeper had gone home.,新来的动物管理员回家后，海豹们变得很饿。,Alle foche e' venuta tanta fame dopo che l'addetto allo zoo e' tornato a casa.
2,30,11,2,1,2,1,1111.jpg,1112.jpg,The mermaid left hospital with the policewoman.,美人鱼和女警察离开了医院。,La sirena e' uscita dall' ospedale con la poliziotta.
2,31,x15,,,,1,x1401.jpg,x1402.jpg,A bird had been sitting on the zookeeper's cage.,一只鸟蹲在动物管理员的笼子上。,Un uccello stava seduto sulla gabbia dell'addetto allo zoo.
2,32,12,3,2,1,1,3121.jpg,3122.jpg,The queen went for a walk with the prince.,王后和王子去散步。,La regina ha fatto una passeggiata con il principe.
2,33,,,,,,,,PLEASE TAKE A BREAK NOW,现在请稍事休息。,ADESSO FA' UNA PAUSA
2,34,x16,,,,2,x0101.jpg,x0102.jpg,The skater thought she was going to hit the ball.,冰球运动员本以为自己能击中球。,La pattinatrice pensava di riuscire a toccare la palla.
2,35,x17,,,,2,x1601.jpg,x1602.jpg,The rescuer asked the patient to evacuate the building.,救援人员让病人撤离那栋建筑。,Il soccorritore ha chiesto al paziente di evacuare l'edificio.
2,36,13,2,1,2,2,1131.jpg,1132.jpg,The sheriff talked about politics with the groom.,警长和新郎谈了政治。,Lo sceriffo ha parlato di politica con lo sposo.
2,37,x18,,,,2,x1701.jpg,x1702.jpg,The ice cream man saw a soldier in the park.,卖冰淇淋的人看见公园里有名士兵。,Il venditore di gelato ha visto un soldato nel parco.
2,38,x19,,,,2,x3001.jpg,x3002.jpg,The golfer enjoyed bird-watching before the game.,高尔夫球运动员喜欢在比赛前观鸟。,Il giocatore di golf amava osservare gli uccelli prima di giocare a golf. 
2,39,14,1,1,1,2,1141.jpg,1142.jpg,The kitchenmaid had put out a fire with the queen.,厨房女佣和王后一起解决了问题。,La cameriera aveva spento l'incendio con la regina.
2,40,x19,,,,2,x1801.jpg,x1802.jpg,The Mexican was happy with the number of eggs  he counted.,墨西哥人对蛋的数量很满意。,Il messicano era contento del numero di uova che aveva contato.
2,41,15,3,2,1,2,3151.jpg,3152.jpg,The pirate escaped from jail with the lady.,海盗和女士一起逃出了监狱。,Il pirata e' scappato da prigione con la signora.
2,42,x20,,,,2,x0901.jpg,x0902.jpg,Grandmother's cat was very hard to handle.,奶奶的猫非常难缠。,Il gatto della nonna e' molto difficile da trattare.
2,43,16,4,2,2,2,3161.jpg,3162.jpg,The gladiator went to the battleground with the countess.,角斗士和女爵士去了战场。,Il gladiatore e' andato al campo di battaglia con la contessa.
2,44,x21,,,,2,x2001.jpg,x2002.jpg,The Egyptian had handed a hose to the roadworker.,埃及人将水管递给了修路工人。,L'egiziano aveva dato un tubo all'operaio.
2,45,x22,,,,2,x1101.jpg,x1102.jpg,The diver had just came out of the water after a long dive.,潜水员在水里潜了很久，刚刚才浮出水面。,Il sommozzatore era appena uscito dall'acqua dopo una lunga immersione.
2,46,17,2,1,2,2,1171.jpg,1172.jpg,The lady discussed the weather with the mermaid.,女士和美人鱼聊了天气。,La signora ha discusso del tempo con la sirena.
2,47,x30,,,,2,x2801.jpg,x2802.jpg,The patient was recommended by the doctor to do some reading.,患者被医生推荐去读点东西。,Al paziente e' stato raccomandato dal dottore di leggere un po'.
2,48,18,3,2,1,2,3181.jpg,3182.jpg,The admiral was having a laugh with the princess.,将军和公主嬉闹了一会儿。,L'ammiraglio stava scherzando con la principessa.
2,49,x24,,,,2,x2301.jpg,x2302.jpg,The baby had just been hit by his own pram.,婴儿刚刚被自己的婴儿车给撞到了。,Il bebe' era appena stato colpito dalla sua stessa carrozzina.
2,50,19,4,2,2,2,3191.jpg,3192.jpg,The Viking went to the lake with the nanny.,维京人和保姆去了湖边。,Il vichingo e' andato al lago con la bambinaia.
2,51,x25,,,,2,x2401.jpg,x2402.jpg,The plumber gave the flower to the female doctor.,水管工将鲜花送给了女医生。,L'idraulico ha dato il fiore alla dottoressa.
2,52,20,1,1,1,2,1201.jpg,1202.jpg,The girl was having fun with the witch.,女孩和女巫玩得很开心。,La ragazza si stava divertendo con la strega.
2,53,x26,,,,2,x2501.jpg,x2502.jpg,The young man saw his neighbour's bin in the street.,年轻人在街上看见了领居家的垃圾桶。,Il giovanotto ha visto il bidone del suo vicino nella strada.
2,54,21,3,2,1,2,3211.jpg,3212.jpg,The prince went to the beach with the nun.,王子和修女去了海边。,Il principe e' andato in spiaggia con la suora.
2,55,x27,,,,2,x2901.jpg,x2902.jpg,The man had stolen money from the bank robber.,男人从银行劫匪那里偷走了钱。,L'uomo aveva rubato dei soldi al rapinatore.
2,56,x28,,,,2,x1001.jpg,x1002.jpg,The paramedic was looking forward to meeting the magician.,医务人员很期待能见到魔术师。,Il paramedico non vedeva l'ora di incontrare il prestigiatore.
2,57,22,4,2,2,2,3221.jpg,3222.jpg,The woman was having a break with the pirate.,女人和海盗休息了一会儿。,La donna stava facendo una pausa con il pirata.
2,58,x29,,,,2,x2701.jpg,x2702.jpg,The nurse saw that her chair was occupied by  a colleague.,护士发现一名同事正坐在她的椅子上。,L'infermiera ha notato che la sua sedia era occupata da un collega.
2,59,23,2,1,2,2,1231.jpg,1232.jpg,The farmer went to the village with the pilot.,农民和飞行员去了村庄。,Il contadino e' andato in paese con il pilota.
2,60,x23,,,,2,x2201.jpg,x2202.jpg,The Roman soldier felt very tired after the battle.,罗马士兵结束了战斗，感到非常疲倦。,Il soldato romano era molto stanco dopo la battaglia.
2,61,24,1,1,1,2,1241.jpg,1242.jpg,The countess toured the country with the girl.,女爵士和女孩环游了全国。,La contessa ha fatto un viaggio con la ragazza.
2,62,,,,,,,,END OF EXPERIMENT. THANK YOU VERY MUCH.,实验结束。非常感谢！,FINE DELL'ESPERIMENTO. MOLTE GRAZIE
3,1,p1,,,,,p0101.jpg,p0102.jpg,The actor's slippers had been washed. ,演员的拖鞋被洗干净了。,Le pantofole dell'attore sono state lavate.
3,2,p2,,,,,p0301.jpg,p0302.jpg,A young girl liked the teddy very much when she was  shopping with her mother.,小女孩和妈妈去买东西的时候，对这个泰迪熊爱不释手。,L'orsacchiotto e' piaciuto molto alla bambina quando faceva la spesa con la sua mamma.
3,3,p3,,,,,p0401.jpg,p0402.jpg,The knight saw a bale of straw and a chicken  on his way to work.,骑士在去工作的路上，看见了一垛干草和一只鸡。,Il cavaliere ha visto una balla di fieno e un pollo mentre andava al lavoro.
3,4,p4,,,,,p0201.jpg,p0202.jpg,The teenager found a radio on his way home. ,少年在回家的路上发现了一台收音机。,L'adolescente ha trovato una radio mentre tornava a casa.
3,5,p5,,,,,p0501.jpg,p0502.jpg,The cleaner was watering the flower when the man  brought her shocking news.,男人来给她传达新闻的时候，清洁工正在浇花。,L'addetta alle pulizie stava innaffiando il fiore quando l'uomo le ha svelato la scioccante notizia.
3,6,x01,,,,1,x0301.jpg,x0302.jpg,"When he was alone, the ghost felt lonely. ",鬼魂独自呆着的时候，会感到孤独。,"Quando era solo, il fantasma si sentiva solo."
3,7,x02,,,,1,x0201.jpg,x0202.jpg,The Egyptian had lost her way when she met  a man with a compass.,埃及人迷路的时候，遇到了一个带着指南针的男人。,L'egiziana aveva smarrito la strada quando ha incontrato un uomo con la bussola.
3,8,1,2,1,2,1,1011.jpg,1012.jpg,The witch visited the garden with the girl. ,女巫和女孩去参观了花园。,La strega ha visitato il giardino con la bambina.
3,9,x03,,,,1,x3101.jpg,x3102.jpg,The neighbour's cats were vegetarians.,领居家的猫是吃素的。,I gatti del vicino erano vegetariani.
3,10,2,3,2,1,1,3021.jpg,3022.jpg,The Indian went to the forest with the countess.,印第安人和女爵士去了森林。,L'indiano e' andato nella foresta con la contessa.
3,11,x04,,,,1,x0701.jpg,x0702.jpg,Grandmother saw her rabbits were outside.,奶奶看见她的兔子正在外面。,La nonna ha notato che i suoi conigli erano fuori.
3,12,3,4,2,2,1,3031.jpg,3032.jpg,The countess came out of the house with the priest.,女爵士和牧师从房子里出来。,La contessa e' uscita da casa con il prete.
3,13,x05,,,,1,x0501.jpg,x0502.jpg,The knight asked the race car driver for his helmet.,骑士找赛车手要他的头盔。,Il cavaliere ha chiesto l'elmetto al pilota di auto da corsa. 
3,14,4,1,1,1,1,1041.jpg,1042.jpg,The king visited the castle with the pilot.,国王和飞行员去参观了城堡。,Il re ha visitato il castello con il pilota.
3,15,x06,,,,1,x2101.jpg,x2102.jpg,The fire-fighter was in a hurry when he saw the  red traffic light.,消防员正在赶时间，却撞上了红灯。,Il pompiere aveva fretta quando ha visto il semaforo rosso.
3,16,5,3,2,1,1,3051.jpg,3052.jpg,The captain was invited to the palace with  the policewoman.,队长和女警察被邀请去宫殿。,Il capitano e' stato invitato a palazzo con la poliziotta.
3,17,x07,,,,1,x0601.jpg,x0602.jpg,The waitress heard someone behind her.,服务员听见背后有人。,La cameriera ha sentito che c'era qualcuno dietro di lei.
3,18,6,1,1,1,1,1061.jpg,1062.jpg,The gardener went to the river with the groom.,园丁和新郎去了河边。,Il giardiniere e' andato al fiume con lo sposo.
3,19,x08,,,,1,x0801.jpg,x0802.jpg,The cleaner saw the carpet was relatively clean.,清洁工发现地毯还算干净。,L'addetto alle pulizie ha notato che il tappeto era relativamente pulito.
3,20,x09,,,,1,x1501.jpg,x1502.jpg,The new zookeeper was introduced to the seals. ,新来的动物管理员被介绍给了海豹们。,Il nuovo lavoratore dello zoo e' stato presentato alle foche.
3,21,7,4,2,2,1,3071.jpg,3072.jpg,The woman explored the cave with the king.,女人和国王去探索了洞穴。,La donna ha esplorato la caverna con il re.
3,22,x10,,,,1,x1901.jpg,x1902.jpg,The astronaut was visiting his colleague's home.,宇航员去拜访了同事家。,L'astronauta stava visitando il suo collega a casa sua.
3,23,8,2,1,2,1,1081.jpg,1082.jpg,The gladiator had a chat with the gentleman.,角斗士和绅士聊了会天。,Il gladiatore ha chiaccherato con il signore.
3,24,x11,,,,1,x2601.jpg,x2602.jpg,The footballer found the ball on his way home.,足球运动员在回家的路上发现了自己的球。,Il calciatore ha trovato la palla mentre tornava a casa sua. 
3,25,9,1,1,1,1,1091.jpg,1092.jpg,The queen enjoyed a discussion with the nanny.,王后和保姆进行了愉快的讨论。,La regina ha conversato con la bambinaia.
3,26,x12,,,,1,x0401.jpg,x0402.jpg,The thief had been trying to open the safe for hours.,小偷这几个小时一直在试图打开保险箱。,Il ladro aveva tentato per ore di aprire la cassaforte.
3,27,10,2,1,2,1,1101.jpg,1102.jpg,The boy went to the race track with the wizard.,男孩和巫师去了赛道。,Il bambino e' andato all'ippodromo (horse track) con il mago.
3,28,x13,,,,1,x1201.jpg,x1202.jpg,The plumber held a hula hoop in front of his daughter.,水管工在他女儿面前拿着个呼拉圈。,L'idraulico ha tenuto alzato l'hula hoop  davanti a sua figlia.
3,29,x14,,,,1,x1301.jpg,x1302.jpg,The seals became very hungry after the new zookeeper had gone home.,新来的动物管理员回家后，海豹们变得很饿。,Alle foche e' venuta tanta fame dopo che l'addetto allo zoo e' tornato a casa.
3,30,11,3,2,1,1,3111.jpg,3112.jpg,The mermaid left hospital with the policeman.,美人鱼和男警察离开了医院。,La sirena e' uscita dall' ospedale con il poliziotto.
3,31,x15,,,,1,x1401.jpg,x1402.jpg,A bird had been sitting on the zookeeper's cage.,一只鸟蹲在动物管理员的笼子上。,Un uccello stava seduto sulla gabbia dell'addetto allo zoo.
3,32,12,4,2,2,1,3121.jpg,3122.jpg,The queen went for a walk with the prince.,王后和王子去散步。,La regina ha fatto una passeggiata con il principe.
3,33,,,,,,,,PLEASE TAKE A BREAK NOW,现在请稍事休息。,ADESSO FA' UNA PAUSA
3,34,x16,,,,2,x0101.jpg,x0102.jpg,The skater thought she was going to hit the ball.,冰球运动员本以为自己能击中球。,La pattinatrice pensava di riuscire a toccare la palla.
